campaign,condition_id,trial,payload,modulation,fec,repeats,inter_frame_silence,symbol_duration,frequency_zero,frequency_one,spacing_hz,noise_level,attenuation,success,ber,snr_db,airtime_s,coded_bits,payload_bytes,sync_fail,crc_fail,decode_cpu_ms,provenance
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,0,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,59.571855149789855,7.280000000000001,104,5,0,0,452.2492670221254,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,1,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,61.91864353171452,7.280000000000001,104,5,0,0,452.80955301132053,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,2,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.09477013597564,7.280000000000001,104,5,0,0,414.34238699730486,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,3,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.365636227026144,7.280000000000001,104,5,0,0,414.2122969496995,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,4,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,56.61819190523068,7.280000000000001,104,5,0,0,414.416934014298,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,5,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.38608776722606,7.280000000000001,104,5,0,0,414.2972429981455,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,6,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.97247935089158,7.280000000000001,104,5,0,0,413.6250690789893,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,7,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.385142289080406,7.280000000000001,104,5,0,0,414.0722550218925,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,8,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,64.13951812352363,7.280000000000001,104,5,0,0,414.39905506558716,SIMULATED_RX
tsym,tsym_T0.070_N0.008_cpfsk_none_r1,9,HELLO,cpfsk,none,1,0.0,0.07,3000.0,8000.0,5000.0,0.008,0.6,1,0.0,60.02130257164004,7.280000000000001,104,5,0,0,414.15175097063184,SIMULATED_RX
